year,gpu_name_clean,retail_price,used_price,wattage,vram,3dmark
2024,radeon rx 7600 xt,313.0,294.0,190.0,16.0,11379
2024,radeon rx 6700 xt,758.0,235.0,230.0,12.0,12808
2024,radeon rx 7600 xt,306.0,275.0,190.0,16.0,11379
2024,radeon rx 6700 xt,713.0,238.0,230.0,12.0,12808
2024,radeon rx 6700 xt,783.0,212.0,230.0,12.0,12808
2024,radeon rx 7600 xt,317.0,250.0,190.0,16.0,11379
2024,radeon rx 6700 xt,771.0,224.0,230.0,12.0,12808
2024,radeon rx 6700 xt,703.0,238.0,230.0,12.0,12808
2024,radeon rx 7700 xt,440.0,370.0,245.0,12.0,17245
2024,radeon rx 6700 xt,715.0,251.0,230.0,12.0,12808
2024,radeon rx 7700 xt,446.0,399.0,245.0,12.0,17245
2024,radeon rx 6700 xt,577.0,263.0,230.0,12.0,12808
2024,radeon rx 7700 xt,411.0,399.0,245.0,12.0,17245
2024,radeon rx 6650 xt,224.0,200.0,176.0,8.0,10027
2024,radeon rx 6700 xt,702.0,274.0,230.0,12.0,12808
2024,radeon rx 7700 xt,396.0,420.0,245.0,12.0,17245
2024,radeon rx 6700 xt,679.0,282.0,230.0,12.0,12808
2024,radeon rx 7700 xt,399.0,347.0,245.0,12.0,17245
2024,radeon rx 6700 xt,381.0,279.0,230.0,12.0,12808
2024,radeon rx 7700 xt,388.0,462.0,245.0,12.0,17245
2024,radeon rx 7700 xt,388.0,364.0,245.0,12.0,17245
2024,radeon rx 6650 xt,228.0,199.0,176.0,8.0,10027
2024,radeon rx 7700 xt,371.0,381.0,245.0,12.0,17245
2024,radeon rx 6650 xt,209.0,192.0,176.0,8.0,10027
2024,radeon rx 6650 xt,217.0,192.0,176.0,8.0,10027
2024,radeon rx 7700 xt,378.0,444.0,245.0,12.0,17245
2024,radeon rx 6650 xt,228.0,190.0,176.0,8.0,10027
2024,radeon rx 6650 xt,209.0,198.0,176.0,8.0,10027
2024,radeon rx 6650 xt,222.0,197.0,176.0,8.0,10027
2024,radeon rx 7700 xt,399.0,378.0,245.0,12.0,17245
2024,radeon rx 7700 xt,385.0,433.0,245.0,12.0,17245
2024,geforce gtx 1050,0.0,0.0,75.0,2.0,1861
2024,radeon rx 6400,157.0,124.0,53.0,4.0,3622
2024,geforce rtx 3060,280.0,202.0,170.0,12.0,8739
2024,geforce rtx 3060,280.0,210.0,170.0,12.0,8739
2024,geforce rtx 3060 ti,360.0,265.0,200.0,8.0,11744
2024,geforce rtx 3060 ti,415.0,252.0,200.0,8.0,11744
2024,geforce rtx 3060 ti,443.0,253.0,200.0,8.0,11744
2024,geforce rtx 3060 ti,356.0,243.0,200.0,8.0,11744
2024,geforce rtx 3060 ti,361.0,223.0,200.0,8.0,11744
2024,geforce rtx 3060 ti,441.0,234.0,200.0,8.0,11744
2024,geforce rtx 3060 ti,458.0,217.0,200.0,8.0,11744
2024,geforce rtx 3060 ti,412.0,217.0,200.0,8.0,11744
2024,geforce rtx 3060 ti,428.0,216.0,200.0,8.0,11744
2024,geforce rtx 3060 ti,418.0,217.0,200.0,8.0,11744
2024,geforce rtx 3060 ti,492.0,224.0,200.0,8.0,11744
2024,geforce rtx 3060 ti,549.0,151.0,200.0,8.0,11744
2024,geforce rtx 3070,457.0,302.0,220.0,8.0,13663
2024,geforce rtx 3070,485.0,284.0,220.0,8.0,13663
2024,geforce rtx 3070,449.0,293.0,220.0,8.0,13663
2024,geforce rtx 3070,430.0,277.0,220.0,8.0,13663
2024,geforce rtx 3070,446.0,259.0,220.0,8.0,13663
2024,geforce rtx 3060,281.0,198.0,170.0,12.0,8739
2024,geforce rtx 3070,436.0,257.0,220.0,8.0,13663
